web-scraper-order,web-scraper-start-url,container_data2,container_data2-href,superficie,price,adresse,image_link,image_link-href
"1752360851-42","https://sn.coinafrique.com/categorie/terrains","Terrain  300 m²- Saly Velingara","https://sn.coinafrique.com/annonce/terrains/terrain-300-m-saly-velingara-5418500","300 m2","16 000 000 CFA","Mbour, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               1 
               jour","https://sn.coinafrique.com/annonce/terrains/terrain-300-m-saly-velingara-5418500"
"1752360854-43","https://sn.coinafrique.com/categorie/terrains","Terrain 200m²  - Sicap Liberté","https://sn.coinafrique.com/annonce/terrains/terrain-200m-sicap-liberte-5418595","200","5 000 000 CFA","Sicap Liberté, Dakar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               1 
               jour","https://sn.coinafrique.com/annonce/terrains/terrain-200m-sicap-liberte-5418595"
"1752360860-44","https://sn.coinafrique.com/categorie/terrains","Terrains 300m² hangars pèlerins  - Yoff","https://sn.coinafrique.com/annonce/terrains/terrains-300m-hangars-pelerins-yoff-5371142","300","160 000 000 CFA","Yoff, Dakar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               1 
               jour","https://sn.coinafrique.com/annonce/terrains/terrains-300m-hangars-pelerins-yoff-5371142"
"1752360864-45","https://sn.coinafrique.com/categorie/terrains","Terrain 225 m² - Yénne","https://sn.coinafrique.com/annonce/terrains/terrain-225-m-yenne-5418763","225 m2","5 500 000 CFA","Toubab Dialao, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               1 
               jour","https://sn.coinafrique.com/annonce/terrains/terrain-225-m-yenne-5418763"
"1752360873-46","https://sn.coinafrique.com/categorie/terrains","Vente villa inachevée -Ouest Foire","https://sn.coinafrique.com/annonce/terrains/vente-villa-inachevee-ouest-foire-5397719","7","25 000 000 CFA","Dakar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               1 
               jour","https://sn.coinafrique.com/annonce/terrains/vente-villa-inachevee-ouest-foire-5397719"
"1752360879-47","https://sn.coinafrique.com/categorie/terrains","Terrain TF 350 m² -Onomo hôtel Yoff","https://sn.coinafrique.com/annonce/terrains/terrain-tf-350-m-onomo-hotel-yoff-5419153","350 m2","275 000 000 CFA","Rufisque, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               1 
               jour","https://sn.coinafrique.com/annonce/terrains/terrain-tf-350-m-onomo-hotel-yoff-5419153"
"1752360883-48","https://sn.coinafrique.com/categorie/terrains","Terrain 257m²- Nguerigne petite côte","https://sn.coinafrique.com/annonce/terrains/terrain-257m-nguerigne-petite-cote-5397805","257 m2","12 000 000 CFA","Saly, Sénégal","",""
"1752360888-49","https://sn.coinafrique.com/categorie/terrains","Terrains 30lots -Zac Mbao","https://sn.coinafrique.com/annonce/terrains/terrains-30lots-zac-mbao-5413748","225 m2","20 000 000 CFA","Rufisque, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               23 
               heures","https://sn.coinafrique.com/annonce/terrains/terrains-30lots-zac-mbao-5413748"
"1752360894-50","https://sn.coinafrique.com/categorie/terrains","Terrain 154m² TF -Scat urbam","https://sn.coinafrique.com/annonce/terrains/terrain-154m-tf-scat-urbam-5389110","154","95 000 000 CFA","Grand Yoff, Dakar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               23 
               heures","https://sn.coinafrique.com/annonce/terrains/terrain-154m-tf-scat-urbam-5389110"
"1752360898-51","https://sn.coinafrique.com/categorie/terrains","Terrain 150m² -Yene pres de la plage","https://sn.coinafrique.com/annonce/terrains/terrain-150m-yene-pres-de-la-plage-5413808","150 m2","10 000 000 CFA","Rufisque, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               22 
               heures","https://sn.coinafrique.com/annonce/terrains/terrain-150m-yene-pres-de-la-plage-5413808"
"1752360902-52","https://sn.coinafrique.com/categorie/terrains","Terrain 225m² -Keur Massar","https://sn.coinafrique.com/annonce/terrains/terrain-225m-keur-massar-5403499","225 m2","10 000 000 CFA","Keur Massar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               22 
               heures","https://sn.coinafrique.com/annonce/terrains/terrain-225m-keur-massar-5403499"
"1752360906-53","https://sn.coinafrique.com/categorie/terrains","Parcelle 600m² -Mboro plage","https://sn.coinafrique.com/annonce/terrains/parcelle-600m-mboro-plage-5415803","600 m2","15 599 500 CFA","Thies, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               21 
               heures","https://sn.coinafrique.com/annonce/terrains/parcelle-600m-mboro-plage-5415803"
"1752360913-54","https://sn.coinafrique.com/categorie/terrains","Parcelle -Mboro sur mer .","https://sn.coinafrique.com/annonce/terrains/parcelle-mboro-sur-mer-5373555","300 m2","2 950 000 CFA","Thies, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               21 
               heures","https://sn.coinafrique.com/annonce/terrains/parcelle-mboro-sur-mer-5373555"
"1752360918-55","https://sn.coinafrique.com/categorie/terrains","Terrains 500m² 3 façades) corniche - Mamelles","https://sn.coinafrique.com/annonce/terrains/terrains-500m-3-facades-corniche-mamelles-5375134","500","750 000 000 CFA","Mamelles, Dakar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               17 
               heures","https://sn.coinafrique.com/annonce/terrains/terrains-500m-3-facades-corniche-mamelles-5375134"
"1752360921-56","https://sn.coinafrique.com/categorie/terrains","Terrain 264m² à démolir à Biagui virage - yoff","https://sn.coinafrique.com/annonce/terrains/terrain-264m-a-demolir-a-biagui-virage-yoff-5398194","264","250 000 000 CFA","Yoff, Dakar, Sénégal","",""
"1752360927-57","https://sn.coinafrique.com/categorie/terrains","Terrains 357m² angle hangars pèlerins   - Yoff","https://sn.coinafrique.com/annonce/terrains/terrains-357m-angle-hangars-pelerins-yoff-5398203","357","275 000 000 CFA","Yoff, Dakar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               13 
               heures","https://sn.coinafrique.com/annonce/terrains/terrains-357m-angle-hangars-pelerins-yoff-5398203"
"1752360932-58","https://sn.coinafrique.com/categorie/terrains","Terrains 732m² pieds dans l’eau virage - Yoff","https://sn.coinafrique.com/annonce/terrains/terrains-732m-pieds-dans-leau-virage-yoff-5379949","732","1 000 000 000 CFA","Yoff, Dakar, Sénégal","",""
"1752360939-59","https://sn.coinafrique.com/categorie/terrains","Terrains 300m2  - Popenguine","https://sn.coinafrique.com/annonce/terrains/terrains-300m2-popenguine-5419713","300","7 500 000 CFA","Mbour, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               12 
               heures","https://sn.coinafrique.com/annonce/terrains/terrains-300m2-popenguine-5419713"
